ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"Unisciti al gioco cooperativo","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"Inserisci l'indirizzo IP globale dell'host:","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"Sembra che sia la prima volta che usi BeaverBuddies. Ti consigliamo di dare un'occhiata veloce alla nostra guida per assicurarti di essere pronto a giocare. Vuoi farlo ora?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"Ospita gioco cooperativo","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"Connessione fallita con errore:
{0}
Vuoi aprire la guida per la risoluzione dei problemi?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"Connessione all'host non riuscita. Vuoi aprire la guida per la risoluzione dei problemi?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"Un giocatore connesso si è desincronizzato e non può continuare a giocare - ci dispiace! L'host dovrebbe riavviare la partita e, DOPO, il client dovrebbe riconnettersi. Potrebbe essere necessario riavviare il gioco se i problemi persistono. Prima di ricaricare, vuoi inviare una segnalazione per aiutarci a risolvere il problema?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"Failed to Rehost. Manually save and Host again.","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"Save and Rehost","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"Reconnect (wait for Rehost)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"Post Bug Report","Post Bug Report"
