ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"Dołącz do gry kooperacyjnej","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"Wprowadź globalny adres IP hosta:","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"Wygląda na to, że pierwszy raz używasz BeaverBuddies. Zalecamy szybkie zapoznanie się z naszym przewodnikiem, aby upewnić się, że jesteś gotowy do gry. Czy chcesz to zrobić teraz?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"Hostuj grę kooperacyjną","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"Błąd połączenia:
{0}
Czy chcesz otworzyć przewodnik rozwiązywania problemów?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"Nie udało się połączyć z hostem. Czy chcesz otworzyć przewodnik rozwiązywania problemów?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"Połączony gracz został desynchronizowany i nie może kontynuować gry - przepraszamy za to! Gospodarz powinien ponownie uruchomić grę, a KLIENT powinien się ponownie połączyć PO tym. Może być konieczne ponowne uruchomienie gry, jeśli problemy będą się powtarzać. Przed ponownym załadowaniem, czy chcesz przesłać zgłoszenie błędu, aby pomóc nam naprawić ten problem?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"Nie udało się ponownie hostować. Zapisz ręcznie i hostuj ponownie.","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"Zapisz i ponownie hostuj","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"Ponowne połączenie (czekaj na ponowne hostowanie)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"Zgłoś błąd","Post Bug Report"
