ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"Entrar no jogo cooperativo","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"Digite o endereço IP global do Host:","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"Parece que esta é a sua primeira vez usando o BeaverBuddies. Recomendamos dar uma olhada rápida em nosso guia para garantir que você está pronto para jogar. Você gostaria de fazer isso agora?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"Hospedar jogo cooperativo","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"Falha ao entrar com erro:
{0}
Gostaria de abrir o guia de solução de problemas?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"Falha ao conectar ao Host. Gostaria de abrir o guia de solução de problemas?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"Um jogador conectado desincronizou e não pode continuar jogando - desculpe por isso! O Anfitrião deve re-hostear e, DEPOIS disso, o Cliente deve reconectar. Você pode precisar reiniciar o jogo se os problemas persistirem. Antes de recarregar, você gostaria de enviar um relatório de bug para nos ajudar a corrigir este problema?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"Falha ao Reanfitriar. Salve manualmente e hospede novamente.","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"Salvar e Reanfitriar","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"Reconectar (aguardar reanfitriamento)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"Enviar Relatório de Bug","Post Bug Report"
BeaverBuddies.Editor.StartingLocation1,"Local de Início - Jogador 1",""
BeaverBuddies.Editor.StartingLocation2,"Local de Início - Jogador 2",""
BeaverBuddies.Editor.StartingLocation3,"Local de Início - Jogador 3",""
BeaverBuddies.Editor.StartingLocation4,"Local de Início - Jogador 4",""
BeaverBuddies.NewGame.MaxStartingLocations,"Máximo de Locais de Início",""
BeaverBuddies.ClientDesynced.ReportSuccess,"Sucesso!",""
BeaverBuddies.ClientDesynced.ReportFailed,"Falhou :(",""
BeaverBuddies.ClientDesynced.ConsentAgreement,"Sim, eu concordo",""
BeaverBuddies.ClientDesynced.TracingEnabled,"Ativado",""
BeaverBuddies.ClientDesynced.EnableTracing,"Ativar registro",""
BeaverBuddies.ClientDesynced.NeedToEnableTracing,"Para relatar esta desincronização, *todos os jogadores* devem primeiro ativar o registro detalhado clicando em 'Ativar registro' abaixo. Se ocorrer outra desincronização, você poderá enviar um relatório de erro detalhado e automatizado. O modo de registro pode causar algum atraso, mas estará ativo apenas até que o jogo seja reiniciado.",""
BeaverBuddies.ClientDesynced.ConsentMessage,"Consentimento para compartilhar dados de uso

Ao optar por compartilhar seus dados, você concorda em enviar as seguintes informações da sua sessão de jogo para os desenvolvedores deste mod:

- Dados de Log: Informações coletadas automaticamente durante sua sessão de jogo, como eventos do jogo e interações do usuário.
- Arquivo de Salvamento: Seu arquivo de salvamento do jogo atual.

Nos esforçamos para manter sua privacidade mantendo esses dados amplamente anônimos. No entanto, como os dados são coletados como estão, eles podem incluir inadvertidamente detalhes que possam identificá-lo (como caminhos de arquivos ou nomes de usuário). Os desenvolvedores não tentarão identificá-lo usando essas informações.

Suas opções:
- Se você concordar, esses dados serão enviados com segurança para os desenvolvedores e usados para melhorar o mod.
- Se você não concordar, nenhum dado será enviado e o seu jogo continuará sem alterações.

Ao continuar, você confirma que tem pelo menos a idade legal de consentimento digital em seu país de residência.

Você concorda em compartilhar seus dados com os desenvolvedores deste mod?",""
BeaverBuddies.Settings.ClientConnectionAddress,"Endereço de conexão do cliente",""
BeaverBuddies.Settings.ClientConnectionAddress.Tooltip,"Endereço IP padrão usado ao conectar a um Host.",""
BeaverBuddies.Settings.Port,"Porta",""
BeaverBuddies.Settings.Port.Tooltip,"Porta usada ao hospedar ou entrar em um jogo. Deve corresponder à porta encaminhada no host.",""
BeaverBuddies.Settings.SilenceLogging,"Silenciar registro",""
BeaverBuddies.Settings.SilenceLogging.Tooltip,"Impede que este mod registre no arquivo de log do jogador (exceto avisos e erros).
Esta configuração é destinada a desenvolvedores.",""
BeaverBuddies.Settings.ShowFirstTimerMessage,"Mostrar mensagem de novo jogador",""
BeaverBuddies.Settings.AlwaysTrace,"Sempre usar log detalhado",""
BeaverBuddies.Settings.AlwaysTrace.Tooltip,"Quando ativado, o jogo sempre usará log detalhado, permitindo enviar relatórios de dessincronização na primeira ocorrência sem ativá-lo manualmente.
Todos os jogadores devem ter essa configuração ativada.
Esta opção pode causar lag e não é recomendada para a maioria dos jogadores.",""
BeaverBuddies.Settings.ReportingConsent,"Consentimento para relatórios",""
BeaverBuddies.Settings.EnableSteamConnection,"Ativar conexão Steam",""
BeaverBuddies.Settings.EnableSteamConnection.Tooltip,"Permite que jogadores entrem no seu jogo pela rede peer‑to‑peer do Steam.
Jogadores ainda poderão entrar via redirecionamento de porta.
Nota: este recurso pode não funcionar se sua rede não suportar conexões P2P.
Além disso, conexões P2P podem ser mais lentas que conexões diretas.",""
BeaverBuddies.Settings.FriendsCanJoinSteamGame,"Permitir que amigos entrem diretamente via Steam",""
BeaverBuddies.Settings.FriendsCanJoinSteamGame.Tooltip,"Quando ativado, seus amigos podem entrar diretamente no seu jogo via Steam sem convite.",""
BeaverBuddies.Settings.ReducePauses,"Reduzir o número de pausas forçadas",""
BeaverBuddies.Settings.ReducePauses.Tooltip,"Quando ativado, o número de pausas forçadas (menu principal, desconstruções etc.) é drasticamente reduzido. Para a melhor experiência, todos os jogadores devem usar a mesma configuração.",""
BeaverBuddies.Host.ConnectedClients,"Aguardando clientes…
Clientes atualmente conectados:",""
BeaverBuddies.Host.DirectConnectClient,"Cliente de conexão direta",""
BeaverBuddies.Host.StartGame,"Iniciar jogo",""
BeaverBuddies.Host.InviteFriends,"Convidar amigos",""
BeaverBuddies.JoinCoopGame.Success,"Conectado! Recebendo mapa…",""
