ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"Присоединиться к кооперативной игре","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"Введите глобальный IP-адрес хоста:","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"Похоже, вы используете BeaverBuddies впервые. Мы рекомендуем быстро ознакомиться с нашим руководством, чтобы убедиться, что вы готовы к игре. Хотите сделать это сейчас?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"Хост кооперативной игры","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"Ошибка подключения:
{0}
Хотите открыть руководство по устранению неполадок?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"Не удалось подключиться к хосту. Хотите открыть руководство по устранению неполадок?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"Подключённый игрок потерял синхронизацию и не может продолжать игру - извините за это! Хост должен перезапустить игру, и ПОСЛЕ этого клиент должен переподключиться. Если проблема сохранится, возможно, потребуется перезапустить игру. Перед перезагрузкой хотите отправить отчёт об ошибке, чтобы помочь нам исправить эту проблему?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"Failed to Rehost. Manually save and Host again.","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"Save and Rehost","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"Reconnect (wait for Rehost)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"Post Bug Report","Post Bug Report"
