ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"เข้าร่วมเกมแบบร่วมมือ","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"ป้อนที่อยู่ IP สากลของโฮสต์:","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"ดูเหมือนว่านี่จะเป็นครั้งแรกที่คุณใช้ BeaverBuddies เราขอแนะนำให้ดูคำแนะนำของเราอย่างรวดเร็วเพื่อให้แน่ใจว่าคุณพร้อมที่จะเล่นแล้ว คุณต้องการทำเช่นนั้นตอนนี้หรือไม่?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"โฮสต์เกมแบบร่วมมือ","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"การเชื่อมต่อล้มเหลวพร้อมข้อผิดพลาด:
{0}
คุณต้องการเปิดคู่มือการแก้ไขปัญหาหรือไม่?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"ไม่สามารถเชื่อมต่อกับโฮสต์ได้ คุณต้องการเปิดคู่มือการแก้ไขปัญหาหรือไม่?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"ผู้เล่นที่เชื่อมต่อเกิดการดีซิงค์และไม่สามารถเล่นต่อได้ - ขออภัยในความไม่สะดวก! โฮสต์ควรเริ่มเกมใหม่ และหลังจากนั้นคลไอเอนต์ควรเชื่อมต่อใหม่ หากปัญหายังคงอยู่ คุณอาจต้องรีสตาร์ทเกมใหม่ ก่อนที่จะโหลดใหม่ คุณต้องการรายงานบั๊กเพื่อช่วยเราแก้ไขปัญหานี้หรือไม่?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"ไม่สามารถโฮสต์ใหม่ได้ กรุณาบันทึกและโฮสต์ใหม่ด้วยตนเอง","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"บันทึกและโฮสต์ใหม่","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"เชื่อมต่อใหม่ (รอโฮสต์ใหม่)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"รายงานข้อผิดพลาด","Post Bug Report"
BeaverBuddies.Editor.StartingLocation1,"ตำแหน่งเริ่มต้น - ผู้เล่น 1",""
BeaverBuddies.Editor.StartingLocation2,"ตำแหน่งเริ่มต้น - ผู้เล่น 2",""
BeaverBuddies.Editor.StartingLocation3,"ตำแหน่งเริ่มต้น - ผู้เล่น 3",""
BeaverBuddies.Editor.StartingLocation4,"ตำแหน่งเริ่มต้น - ผู้เล่น 4",""
BeaverBuddies.NewGame.MaxStartingLocations,"ตำแหน่งเริ่มต้นสูงสุด",""
BeaverBuddies.ClientDesynced.ReportSuccess,"สำเร็จ!",""
BeaverBuddies.ClientDesynced.ReportFailed,"ล้มเหลว :(",""
BeaverBuddies.ClientDesynced.ConsentAgreement,"ใช่ ฉันยอมรับ",""
BeaverBuddies.ClientDesynced.TracingEnabled,"เปิดใช้งาน",""
BeaverBuddies.ClientDesynced.EnableTracing,"เปิดบันทึกข้อมูล",""
BeaverBuddies.ClientDesynced.NeedToEnableTracing,"เพื่อรายงานการเกิดการไม่ซิงค์นี้ *ผู้เล่นทุกคน* ต้องเปิดใช้งานการบันทึกข้อมูลที่มีรายละเอียดมากขึ้นโดยกด 'เปิดบันทึกข้อมูล' ด้านล่าง หากเกิดการไม่ซิงค์อีกครั้ง คุณจะสามารถส่งรายงานข้อผิดพลาดที่มีรายละเอียดและเป็นอัตโนมัติได้ โหมดบันทึกข้อมูลอาจทำให้เกิดความล่าช้า แต่จะเปิดใช้งานจนกว่าจะรีสตาร์ทเกมอีกครั้งเท่านั้น",""
BeaverBuddies.ClientDesynced.ConsentMessage,"ยินยอมในการแบ่งปันข้อมูลการใช้งาน

เมื่อเลือกที่จะแบ่งปันข้อมูลของคุณ คุณตกลงที่จะส่งข้อมูลต่อไปนี้จากการเล่นเกมของคุณไปยังนักพัฒนาของม็อดนี้:

- ข้อมูลบันทึก: ข้อมูลที่รวบรวมโดยอัตโนมัติระหว่างการเล่นเกมของคุณ เช่น เหตุการณ์ในเกมและการโต้ตอบของผู้ใช้
- ไฟล์บันทึก: ไฟล์บันทึกเกมปัจจุบันของคุณ

เราพยายามปกป้องความเป็นส่วนตัวของคุณโดยทำให้ข้อมูลเหล่านี้ไม่ระบุตัวตนเป็นหลัก อย่างไรก็ตาม เนื่องจากข้อมูลถูกรวบรวมตามที่เป็นอยู่ อาจมีรายละเอียดที่สามารถระบุตัวคุณได้ (เช่น เส้นทางไฟล์หรือชื่อผู้ใช้) นักพัฒนาจะไม่พยายามระบุตัวตนของคุณโดยใช้ข้อมูลนี้

ทางเลือกของคุณ:
- หากคุณยินยอม ข้อมูลนี้จะถูกส่งอย่างปลอดภัยไปยังนักพัฒนาและใช้เพื่อปรับปรุงม็อด
- หากคุณไม่ยินยอม จะไม่มีการส่งข้อมูลใดๆ และการเล่นเกมของคุณจะดำเนินต่อไปโดยไม่มีการเปลี่ยนแปลงใดๆ

เมื่อดำเนินการต่อ คุณยืนยันว่าคุณมีอายุถึงเกณฑ์ที่กฎหมายกำหนดในการให้ความยินยอมทางดิจิทัลในประเทศที่คุณอาศัยอยู่

คุณยินยอมที่จะแบ่งปันข้อมูลของคุณกับนักพัฒนาของม็อดนี้หรือไม่?",""
BeaverBuddies.Settings.ClientConnectionAddress,"ที่อยู่เชื่อมต่อไคลเอนต์",""
BeaverBuddies.Settings.ClientConnectionAddress.Tooltip,"ที่อยู่ IP เริ่มต้นเมื่อเชื่อมต่อไปยังโฮสต์",""
BeaverBuddies.Settings.Port,"พอร์ต",""
BeaverBuddies.Settings.Port.Tooltip,"พอร์ตที่ใช้เมื่อโฮสต์หรือเข้าร่วมเกม ควรตรงกับพอร์ตที่โฮสต์เปิดไว้",""
BeaverBuddies.Settings.SilenceLogging,"ปิดการบันทึก log",""
