ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"Eşli oyuna katıl","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"Ev sahibinin global IP adresini girin:","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"Görünüşe göre BeaverBuddies'i ilk kez kullanıyorsunuz. Oynamaya hazır olduğunuzdan emin olmak için kılavuzumuzu hızlıca gözden geçirmenizi öneririz. Şimdi yapmak ister misiniz?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"Eşli oyunu barındır","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"Hata ile katılma başarısız oldu:
{0}
Sorun giderme kılavuzunu açmak ister misiniz?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"Ev sahibine bağlanılamadı. Sorun giderme kılavuzunu açmak ister misiniz?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"Bağlı bir oyuncu senkronizasyonunu kaybetti ve oyuna devam edemiyor - bunun için özür dileriz! Host yeniden başlatmalı ve BUNDAN SONRA, Client yeniden bağlanmalıdır. Sorun devam ederse oyunu yeniden başlatmanız gerekebilir. Yeniden yüklemeden önce, bu sorunu çözmemize yardımcı olmak için bir hata raporu göndermek ister misiniz?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"Yeniden barındırma başarısız oldu. Manuel olarak kaydedip yeniden barındırın.","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"Kaydet ve Yeniden Barındır","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"Yeniden Bağlan (yeniden barındırmayı bekle)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"Hata Raporu Gönder","Post Bug Report"
BeaverBuddies.Editor.StartingLocation1,"Başlangıç Konumu - Oyuncu 1",""
BeaverBuddies.Editor.StartingLocation2,"Başlangıç Konumu - Oyuncu 2",""
BeaverBuddies.Editor.StartingLocation3,"Başlangıç Konumu - Oyuncu 3",""
BeaverBuddies.Editor.StartingLocation4,"Başlangıç Konumu - Oyuncu 4",""
BeaverBuddies.NewGame.MaxStartingLocations,"Maksimum Başlangıç Konumu",""
